"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Plekhb2" 4.10105394215884 3.67591867551956 3.88472759676699 3.32108316843741 3.07203142591627 2.64924213067213
"Hs6st1" 5.86976512033399 5.61804384659296 5.5316485386789 4.88145368097617 4.46513109403268 4.40814886365801
"Uggt1" 7.46985172763057 7.56043061529312 7.88723643392596 7.1269859564611 6.87256285711866 6.7835484269019
"Neurl3" 0.00681787231307311 -0.146083022502444 0.931444095674023 -1.0631292047043 -0.951158201455623 -0.106582490745387
"Arid5a" 1.66674243071545 1.41911622339728 0.813607605380165 0.79582691384052 0.56074083707581 0.250352053969889
"Kansl3" 5.61444409315856 5.27331827947894 5.10293980499156 4.88053476690632 4.59887596596258 4.46247361906641
"Fer1l5" 2.65758243142998 2.38386537621423 2.58993563181714 2.58862599994295 2.36541665893753 2.09944648438217
"Lman2l" 2.98501350199472 2.89384316191032 3.15988556168328 2.93863772146989 2.87515487830587 2.77820391815627
"Cnnm4" 2.65758243142998 2.75884338622556 3.08556724099344 1.55446430025683 0.980454823564127 1.60742195497751
"Cnnm3" 4.99413873824233 4.96627669140605 5.11855354008518 4.52477697188181 4.23793421072465 4.35629642951038
"Ankrd23" 2.25777944584629 1.75490697166639 2.20153325904177 1.30336444261651 1.23646880172015 1.29893223441495
"Ankrd39" 1.3853294955668 0.614246564729273 0.873728597817736 0.444354543339143 0.402478753159078 -0.0087351673472422
"Sema4c" 2.58213020300051 2.46320880758045 2.8212611779236 1.31429400277477 0.923310916460518 0.880706457505059
"Fam178b" 3.15086424192978 2.85759263564095 2.53514315897677 3.10207338649561 2.96283928064716 2.77820391815627
"Cox5b" 5.74342274762732 4.92658281681982 4.54673113325198 4.20915751436769 3.74722493039153 3.42466215009792
"Actr1b" 5.23178423731335 4.68111383792459 4.52346135392913 3.62967430257575 2.78980932326808 3.04066707272903
