	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
Map1lc3a	90	267	62	214	370	338	75	202	298	431	144	312
Map1lc3b	1410	1211	1064	1242	2658	1340	1223	1328	1924	1712	2097	1848
Map1s	630	1931	780	1880	3145	2870	951	2096	2361	3330	1878	2941
Map2	76	537	106	499	378	628	102	523	268	851	278	889
Map2k1	469	1471	562	1007	2986	1954	624	1144	2184	2388	1247	1767
Map2k2	465	1154	546	1152	2358	1580	658	1326	1924	1744	1263	1807
Map2k3	466	803	313	839	1319	1155	375	891	1021	1298	789	1236
Map2k3os	56	55	42	64	170	55	45	68	105	77	110	82
Map2k4	507	1845	523	1463	2297	2145	517	1417	1650	2452	1096	2268
Map2k5	192	266	281	409	520	267	258	393	393	286	489	543
Map2k6	60	134	31	71	229	139	34	80	203	134	81	139
Map2k7	964	1068	941	1287	2669	1362	1088	1414	2016	1510	2125	1953
Map3k1	1445	1420	1092	1433	1567	1490	983	1478	1479	1748	1951	2166
Map3k10	130	318	149	339	474	397	209	369	337	534	370	622
Map3k11	311	838	278	852	1021	1024	310	932	742	1195	570	1361
Map3k12	473	747	574	766	1205	908	555	748	1036	881	1068	1051
Map3k13	26	124	17	54	73	106	12	63	59	135	36	109
Map3k14	36	89	40	113	112	94	54	96	98	108	76	178
Map3k15	84	346	103	242	183	356	79	255	149	407	203	403
Map3k19	0	6	1	3	3	4	0	2	1	4	0	6
Map3k2	492	639	409	700	840	661	415	680	655	762	776	1038
Map3k3	439	1424	339	892	1290	1870	395	978	1092	2059	839	1449
Map3k4	710	2162	754	2653	2267	2719	748	3070	1853	3197	1463	4318
Map3k5	54	446	140	318	246	460	103	313	196	543	251	471
Map3k6	38	135	26	123	182	118	19	120	145	144	48	144
Map3k7	934	2265	1049	1932	3890	2732	1052	2092	3025	3050	2455	3196
Map3k7cl	0	0	0	1	0	1	0	0	0	2	1	0
Map3k8	4	26	3	13	7	31	0	15	2	34	3	13
Map3k9	341	538	257	931	500	562	244	892	364	587	472	1186
Map4	1803	4225	1291	2924	6474	5249	1228	3283	5500	5865	2583	4435
Map4k1	136	337	127	284	515	489	139	323	413	548	306	553
Map4k2	72	216	79	172	417	276	78	208	268	298	217	277
Map4k3	498	1370	1020	1661	1479	1616	955	1660	1114	1709	1967	2411
Map4k4	4459	9822	3500	5274	16464	11761	3151	5864	12445	12960	7558	8343
Map4k5	539	1287	406	1167	1317	1337	376	1075	1082	1523	882	1775
Map6	177	373	244	665	471	489	237	666	504	560	522	955
Map6d1	18	41	30	31	70	36	15	27	54	35	41	42
Map7	832	1069	609	788	2830	1369	627	878	2279	1570	1474	1418
Map7d1	319	627	283	763	1544	910	321	832	1112	968	633	1383
Map7d2	107	388	79	228	727	569	75	243	538	585	158	450
Map9	278	1070	358	907	1204	1293	326	975	865	1550	870	1570
Mapk1	2348	4942	2396	3893	9838	5874	2437	3923	7338	6238	4849	6039
Mapk10	0	22	6	7	9	21	3	7	10	33	3	8
Mapk11	114	117	76	274	324	144	98	308	265	178	214	486
Mapk12	104	171	86	415	187	234	130	498	178	291	252	732
Mapk13	24	137	27	122	155	194	24	140	83	208	94	186
Mapk14	869	2305	844	1490	4402	2849	838	1644	3472	3196	2079	2456
