WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Tubgcp3	7.356789315	6.710576545	6.517648194	6.593569646	6.066353699	6.096540475	6.133945215	6.235682306	4.145112468	3.326209124	1.965867668	-0.924018092	2.399295281	1.906575711
Polr3d	7.482183727	8.288890669	7.293255146	6.970423952	7.6513162	7.050836864	7.757542862	5.312723341	6.511778878	5.648137218	0.685759749	2.776421626	3.617342232	4.132288491
Ddx3x	11.25272129	11.01699971	10.74266657	10.618034	9.525785318	10.44444993	11.12138644	9.690679975	9.811287536	9.73560006	6.656481956	7.356752678	8.42259733	7.886807441
Slc5a5	2.328678608	2.408988898	0.755610578	-1.057482045	6.066353699	1.483381082	2.941824467	1.806370675	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Txnrd3	5.568144543	4.365045551	5.432857536	5.282367958	6.066353699	5.400360495	4.916439149	2.434401898	4.48734466	3.326209124	-0.536632673	-0.924018092	2.399295281	-0.240265677
Necab3	1.274230824	0.301185609	3.811686502	-1.057482045	6.066353699	1.627770991	2.559953832	0.668867152	1.679989738	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.411811019
Pxmp4	5.335342339	3.805148387	2.929440034	4.825161004	6.066353699	3.068343583	3.624084169	2.73925648	3.842928309	3.326209124	1.337836445	-0.924018092	4.024196527	2.952379401
Dlg3	5.76854796	6.682206371	6.136995255	3.896714265	6.066353699	5.478627552	6.466844427	2.870501013	4.336336871	3.326209124	1.337836445	2.535413527	0.353001628	2.475941357
Mmp11	6.311883366	5.775241162	6.186776906	5.931202642	6.066353699	5.570843923	5.587022075	4.822672488	4.469310737	3.326209124	0.685759749	2.982872504	3.360821133	1.596235591
Smarcb1	8.764233125	8.253173661	7.984194665	7.733680844	7.6513162	7.441246818	8.39590852	7.959807554	7.180182135	6.496134125	4.933687262	5.415831911	4.715136046	4.713930633
Vpreb3	1.480681702	-2.234867292	1.125979028	2.849408551	6.066353699	-1.179583931	0.322914634	2.990795247	1.404355295	3.326209124	-2.121595173	-0.924018092	2.096226213	-0.240265677
Hip1r	3.40668112	4.046830958	5.014607417	3.466079911	6.066353699	4.029869435	4.309975579	3.301135367	4.145112468	3.326209124	-2.121595173	-0.924018092	0.353001628	0.952379401
Top1mt	4.368206972	4.533317033	3.706397604	-1.057482045	6.066353699	3.678397064	3.624084169	2.253829652	2.937787495	3.326209124	-0.536632673	-0.924018092	0.353001628	0.274307496
Hoxa1	3.456434155	1.465572426	0.755610578	3.697405457	6.066353699	1.142344164	-0.899477787	-1.653060943	0.6158594	3.326209124	0.200332922	-0.924018092	0.353001628	-1.047620599
Slc7a7	8.31946543	7.939309393	7.975723425	8.903967649	7.6513162	7.781383338	7.947057317	7.514357203	7.545521303	6.785640742	4.53661631	3.933962903	6.134361342	5.00222795
Oxa1l	8.407471855	7.154441381	7.139946846	7.397845175	8.388281794	6.612664099	7.405823989	7.327078634	6.448749414	3.326209124	4.997345899	5.184506365	4.715136046	3.941064088
Heatr6	7.156873874	7.413670054	7.279554958	6.061459028	6.066353699	6.9582611	6.741971905	6.481365377	6.130842371	3.326209124	3.007687844	2.535413527	3.73030648	4.567089245
Tyk2	6.972534798	5.761747423	4.609946868	6.237138704	7.6513162	4.619157861	4.916439149	5.623063462	4.098942287	3.326209124	3.235956831	4.030178218	4.110210442	1.411811019
Icam4	2.097353062	3.695870046	-0.514478585	-1.057482045	6.066353699	1.483381082	2.373540707	-1.653060943	2.648280878	4.911171624	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Ilf2	9.18712016	8.512822204	8.519106362	8.464118395	6.066353699	8.430825776	8.22205573	7.967158882	8.114255342	8.280405434	6.421436647	6.370602657	6.757958048	6.274307496
Chtop	9.498974625	9.218506241	9.372562791	9.150752313	7.6513162	8.848782623	9.104742679	7.907271891	8.487904603	7.026648842	4.619871813	5.142071098	6.689750727	6.039842242
S100a6	10.59355556	5.3027394	5.528629136	10.76070066	6.066353699	5.218447143	5.543465709	10.59694132	5.020613926	6.496134125	8.288856178	8.39113147	4.919552092	5.563404198
Ern1	3.128379958	3.695870046	3.706397604	1.749872877	6.066353699	3.166190906	3.070148564	1.154293979	-0.036217296	3.326209124	1.785295422	-0.924018092	-1.848632233	-3.047620599
Epn2	7.727343138	8.856964748	8.491641196	6.621998055	6.066353699	8.877053784	8.702293001	6.283576996	7.797576379	7.026648842	2.832601137	3.468299331	4.871098824	5.00222795
Sec24b	6.674453445	7.383151066	6.880362356	5.209304496	6.066353699	6.651195337	6.888424772	3.704491061	5.418522627	4.911171624	2.736385822	0.660944409	3.360821133	2.039842242
N4bp3	7.306806428	6.608739755	6.880362356	6.36037047	6.066353699	6.612664099	6.233236135	4.721978488	5.518371555	3.326209124	2.401966783	1.397910003	4.476898099	2.161832766
Zfp276	5.089490944	4.595489456	4.72223912	4.071800972	6.066353699	2.850163413	3.007412809	1.154293979	2.110624092	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Add1	6.963960062	6.675025792	6.234897933	7.422298219	6.066353699	6.065176304	6.667844555	7.274717019	5.94759067	5.648137218	3.493114671	2.535413527	4.476898099	2.810360396
Mfsd10	8.287177621	7.422272485	8.090020138	9.327301705	6.066353699	7.498722769	7.405823989	8.560043276	6.689757514	6.496134125	4.723894878	3.719838098	6.174844919	6.197932107
Grk6	7.662579345	6.937560217	6.886400851	6.549848269	6.066353699	6.407881077	7.09864248	7.02993364	5.966999416	4.911171624	2.12633234	2.776421626	3.048608193	3.906575711
Luzp1	7.806212033	6.570554155	7.297793116	7.446343693	6.066353699	6.807206212	7.056656328	6.095131906	5.707174567	5.648137218	3.986929284	2.982872504	4.341192326	3.596235591
Slc13a2	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Slc46a1	6.507481761	4.683995946	4.550343416	6.981436944	6.066353699	4.751153407	5.404302961	4.413028247	3.814639264	4.911171624	3.087858192	2.245906909	1.186991677	1.411811019
Poldip2	9.917809546	8.148188938	8.748583445	8.971805182	6.066353699	7.710173515	8.432185634	8.328506339	7.091592831	7.413671965	5.154529232	5.265806467	4.191383446	4.499273861
Col6a1	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-0.899477787	-1.653060943	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	-0.240265677
Pcbp3	4.650606703	4.820415144	5.141209968	2.401949574	6.066353699	4.511577974	5.576255644	3.704491061	4.051245545	7.574136637	-2.121595173	0.660944409	3.73030648	0.274307496
Araf	6.453374356	5.081640527	5.497406384	5.861381192	6.066353699	4.997004801	5.404302961	5.506810394	4.316299118	4.911171624	3.711294841	-0.924018092	2.096226213	3.460174041
Cfp	3.913641109	3.307390758	2.617227094	2.849408551	6.066353699	1.759015525	2.644842729	2.253829652	1.679989738	3.326209124	-2.121595173	-0.924018092	2.096226213	-3.047620599
Cnnm3	7.201324991	6.608739755	7.338005026	7.035275096	6.066353699	5.986997628	6.287049182	5.997990748	5.081240285	4.911171624	0.685759749	-0.924018092	3.048608193	2.161832766
Pcnt	8.818749499	8.828123239	8.08214968	8.823631916	7.6513162	8.127996385	9.100991764	7.791953903	7.768374723	6.496134125	4.867089514	3.933962903	4.871098824	3.974747214
Col6a2	-2.426208894	0.301185609	2.617227094	-1.057482045	6.066353699	0.935893287	1.422450308	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Mxd1	5.294890295	4.365045551	2.929440034	4.151971321	6.066353699	3.425278127	3.782346253	3.838792153	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.596235591
Gmcl1	7.059620415	7.342939156	6.308701304	7.727152801	6.066353699	6.145346652	7.153995626	6.511845983	6.17601851	4.911171624	1.578844545	0.660944409	4.919552092	4.847197164
Snrnp27	8.204058231	7.342939156	7.577034585	7.364582721	6.066353699	7.028243863	7.399730231	6.86657531	7.049729312	6.133564046	4.478317669	3.933962903	5.592652039	5.607015429
Anxa4	6.206786303	4.712331293	4.045517	5.812882675	6.066353699	4.435125913	4.283744037	5.862638895	4.607638893	3.326209124	4.417563638	4.502246663	2.399295281	3.411811019
Ocrl	6.593381834	7.680713362	6.753960212	6.704069188	7.6513162	6.764884123	7.12473845	6.81046343	6.502941515	6.785640742	4.068229386	-0.924018092	4.871098824	4.403590513
Calm1	11.82001212	10.89290139	10.7106934	11.05267497	6.066353699	10.41334022	11.1158211	10.38894036	10.14706361	9.054129578	7.690582132	7.411372263	8.851980876	8.09640027
Sh3bp1	6.959653507	3.954957267	3.861582947	7.286813863	6.066353699	3.610493	3.705384271	6.223456003	2.582692536	3.326209124	3.65976454	0.660944409	0.353001628	1.411811019
Agpat3	5.54533466	6.785834912	6.818545186	5.629018482	6.066353699	6.721282877	6.568127763	4.413028247	6.267563452	3.326209124	1.965867668	-0.924018092	3.835064221	3.460174041
Gatd3a	6.403513841	6.151426343	6.693253529	6.426333732	6.066353699	5.35957488	5.894938079	4.074859511	4.970208973	4.911171624	3.761047876	3.468299331	3.360821133	3.018468591
Slc26a4	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	0.935893287	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Sema6b	-0.841246393	1.171125068	1.420426386	-1.057482045	6.066353699	-2.764546431	3.187985054	1.516864058	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Uhrf1	8.699850222	8.272332709	8.345878119	7.803604861	6.066353699	7.448557788	7.648701925	7.558827351	7.049729312	7.026648842	4.955220424	4.120376027	4.191383446	4.403590513
Lsr	7.067646555	7.750690062	7.315803587	6.867330459	6.066353699	6.818536336	8.063418218	6.198688098	6.844678091	7.233099719	3.087858192	-0.924018092	2.649618635	3.596235591
Gramd1a	6.790536964	6.231922946	5.782842324	5.571874575	6.066353699	5.369879889	6.326131347	5.893833517	3.222516972	5.648137218	1.785295422	2.245906909	2.096226213	-1.047620599
Ckb	8.519966347	8.216549905	8.979376864	7.625512539	6.066353699	8.007768143	8.509205772	7.702290153	7.829736857	5.648137218	5.626597676	5.379762656	7.871440979	7.880157363
Efnb2	5.623639656	6.241676415	5.998900688	4.67043841	6.066353699	5.66590612	6.163018139	4.179829071	2.937787495	3.326209124	0.200332922	2.245906909	1.186991677	2.378644156
Sp1	10.05331878	9.752183498	9.656698212	10.67171381	9.236278701	8.986579152	9.265010178	9.416388824	7.962977403	8.683761128	5.928253376	6.255890998	6.174844919	5.74028196
Itgb7	5.195842926	4.945041798	4.923579383	4.36878271	6.066353699	3.385200688	4.458074218	4.613725597	4.48734466	3.326209124	2.12633234	0.660944409	2.649618635	2.274307496
Pfdn5	8.607902252	8.560360674	8.203197838	7.740179481	6.066353699	8.011063849	8.274615651	7.44233608	7.819096157	9.555027814	6.012831147	4.958624957	8.165667262	7.474960932
Rrp15	8.423196207	8.267566747	8.371935279	8.379229497	6.066353699	8.230514036	8.220327952	7.268779994	7.838544546	6.496134125	2.401966783	3.83086941	6.027884714	6.047776424
Rnd2	4.94011332	4.328900987	5.85851447	6.1421903	6.066353699	5.516224339	4.966770824	5.033439584	5.162052331	3.326209124	-2.121595173	-0.924018092	4.715136046	4.791583189
Cnn1	-0.841246393	2.408988898	0.256039569	-1.057482045	6.066353699	-2.764546431	0.685484714	-1.653060943	1.243890623	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Fbxo9	6.565312952	6.044046728	6.042816166	5.542430797	6.066353699	5.731308595	6.141268555	4.650719805	4.607638893	4.911171624	1.965867668	1.88333683	3.048608193	2.274307496
