"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Clk1" 1315 2376 1270 4335 1744 2054
"Ppil3" 130 188 74 165 61 66
"Nif3l1" 325 436 192 397 117 133
"Orc2" 1385 1550 723 1906 600 644
"Fam126b" 304 591 306 863 433 480
"Ndufb3" 73 81 33 124 35 53
"Gm20257" 5 21 4 14 10 7
"Als2cr12" 0 2 2 2 0 1
"Cflar" 321 683 385 957 452 480
"Casp8" 10 13 4 11 8 3
"Trak2" 551 956 521 1146 420 466
"Stradb" 21 42 13 46 18 22
"Als2cr11" 4 0 0 20 13 9
"Tmem237" 159 269 141 414 159 160
"Mpp4" 2 15 4 5 4 2
"Als2" 1172 2025 1067 2847 1202 1399
"Cdk15" 7 4 3 22 13 11
"Fzd7" 1195 2270 1192 4679 2051 2652
"Gm973" 79 100 46 44 16 19
"Sumo1" 969 1018 313 1196 340 378
"Nop58" 6235 7578 3055 11028 3679 3837
"Snord70" 46 107 73 138 49 88
"Snord11" 43 114 81 143 51 94
"Bmpr2" 702 1568 878 1573 700 846
"Fam117b" 539 626 270 840 331 406
"Ica1l" 19 53 29 57 38 39
"Wdr12" 977 1262 510 1373 431 454
"Carf" 86 215 109 325 158 148
"Nbeal1" 596 1163 662 2494 1233 1295
"Cyp20a1" 197 413 255 396 170 206
"Abi2" 952 1438 759 1569 663 683
"Raph1" 1453 2657 1519 3307 1372 1535
"Cd28" 1 2 0 1 0 0
"Ctla4" 0 0 0 0 0 0
"Icos" 1 2 0 0 1 0
"9530026F06Rik" 6 27 11 29 13 16
"Pard3b" 49 85 43 166 63 77
"Nrp2" 574 1042 637 1143 437 538
"4930487H11Rik" 20 34 23 45 20 19
"Ino80d" 2140 3988 2183 8612 3715 4244
"Ino80dos" 43 83 49 175 56 72
"Ndufs1" 1000 1377 606 1604 628 683
"Eef1b2" 7534 8837 3458 13168 4263 4808
"Snora41" 24 49 17 31 16 20
"Gpr1" 30 94 45 168 100 74
"Zdbf2" 2708 5496 3032 11148 4964 5191
"Adam23" 2464 4544 2434 9765 4273 4693
"Dytn" 0 1 0 2 1 2
"Mdh1b" 2 6 2 4 1 2
"Fastkd2" 320 616 344 792 276 338
"4933402D24Rik" 3 12 5 27 7 7
"Gm13749" 1 2 0 0 0 0
"Mir1958" 0 0 0 0 0 0
"Klf7" 106 224 113 177 48 78
"Mir6899" 0 0 0 1 0 0
"Creb1" 682 1048 582 1706 689 736
"Mettl21a" 96 167 86 238 96 115
"2810408I11Rik" 21 30 14 35 11 7
"Ccnyl1" 312 458 224 559 176 244
"Fzd5" 1028 1839 983 5446 2271 2385
"Plekhm3" 235 450 177 844 304 376
"Akr1cl" 0 2 2 3 0 0
"Cryge" 0 0 0 0 0 1
"Crygd" 0 0 0 0 0 0
"Crygc" 0 0 1 0 0 0
"Crygb" 0 1 0 0 0 0
"Cryga" 0 1 1 0 0 0
"D630023F18Rik" 155 196 64 91 27 31
"Idh1" 442 465 176 273 93 117
"Pikfyve" 832 1395 769 2214 929 976
"Pth2r" 4 11 3 7 2 2
"Crygf" 2 0 0 1 0 0
"Map2" 147 243 127 144 46 58
"Unc80" 24 36 15 66 20 27
"Rpe" 334 611 313 859 376 354
"Kansl1l" 156 256 150 457 229 265
"Acadl" 167 253 134 358 131 135
"Myl1" 2 2 3 0 2 1
"Lancl1" 201 367 144 444 182 180
"Cps1" 33 72 25 110 59 68
"Erbb4" 1 8 0 4 2 4
"Ikzf2" 17 28 20 95 24 39
"Spag16" 13 16 14 69 39 37
"Vwc2l" 1 7 0 0 0 1
"Bard1" 476 818 401 1616 731 773
"Abca12" 4 3 2 1 0 0
"Atic" 1417 1693 673 1581 482 455
"Fn1" 13941 31048 18111 97135 44280 53268
"Apol7d" 1 9 5 25 7 10
"Gm8883" 0 0 0 0 0 0
"4933417E11Rik" 1 1 0 0 1 0
"Mreg" 1742 2236 1075 2927 1109 1268
"Pecr" 118 173 62 148 45 57
"Tmem169" 7 2 8 3 3 0
"Xrcc5" 1125 1497 636 2077 745 814
"March4" 48 140 65 159 77 85
"Smarcal1" 364 530 228 635 218 258
"Ankar" 6 13 0 7 4 1
"Rpl37a" 1426 1728 615 1709 471 578
"Igfbp2" 2438 5309 2843 4300 1687 2170
"Igfbp5" 15 27 13 19 4 2
"Tnp1" 1 1 0 2 1 4
"1700027A15Rik" 2 3 0 0 5 7
"Pinc" 0 1 0 0 0 0
"D530049I02Rik" 0 0 0 0 0 0
"6030407O03Rik" 3 13 2 10 4 2
"Mir6351" 0 2 1 1 0 0
"Tns1" 230 343 210 575 204 254
"Rufy4" 6 7 0 9 2 2
"Cxcr2" 305 467 263 558 256 265
"Cxcr1" 2 4 0 0 0 2
"Mir1928" 0 0 0 0 0 0
"Arpc2" 849 1146 503 1072 384 410
"Gpbar1" 4 11 6 12 9 3
"Aamp" 1140 1228 427 2037 557 697
"Pnkd" 265 433 190 661 272 277
"Tmbim1" 112 243 141 373 177 167
"Catip" 82 115 46 433 153 137
"Slc11a1" 128 223 119 497 214 192
"Ctdsp1" 237 271 100 513 161 169
"Mir26b" 1 1 3 9 3 2
"Vil1" 17 35 18 34 10 22
"Usp37" 1070 1700 893 2752 1124 1262
"Rqcd1" 860 1030 413 1232 374 443
"Plcd4" 51 67 32 42 15 17
"Zfp142" 820 1345 642 1088 406 524
"Bcs1l" 96 100 56 152 52 61
"Rnf25" 145 214 84 272 93 102
"Stk36" 24 51 20 70 26 28
"Ttll4" 807 1607 850 1425 566 663
"Cyp27a1" 19 20 8 14 7 8
"Prkag3" 94 205 92 245 159 152
"Wnt6" 12 11 9 20 10 7
"Wnt10a" 4 8 1 10 0 0
"Cdk5r2" 29 25 15 40 7 15
"Fev" 0 0 0 2 0 0
"Cryba2" 0 0 0 1 1 0
"Mir375" 0 0 0 0 0 0
"Ccdc108" 13 20 3 5 2 4
"Ihh" 3 22 7 7 7 2
"Nhej1" 66 69 32 69 20 28
"Slc23a3" 3 9 1 3 0 0
"Cnppd1" 85 132 61 115 41 44
"Fam134a" 160 257 134 328 147 156
"Zfand2b" 59 87 35 106 42 31
"Abcb6" 161 322 153 641 285 294
"Atg9a" 203 316 168 349 141 186
"Ankzf1" 187 343 157 613 249 312
"Glb1l" 30 78 42 186 75 94
"Stk16" 178 286 106 392 137 129
"Tuba4a" 1034 930 314 788 187 220
"A630095N17Rik" 2 1 2 1 1 1
"Dnajb2" 95 135 59 154 64 64
"Ptprn" 103 313 181 340 134 164
"Resp18" 0 8 2 0 0 2
"Dnpep" 253 265 126 313 92 112
"Des" 86 75 32 54 12 22
"Gm15179" 2 0 0 0 0 0
"Speg" 155 281 138 128 75 103
"Gmppa" 149 173 83 250 89 106
"Asic4" 3 6 4 3 3 1
"Chpf" 199 381 255 362 157 230
"Tmem198" 18 33 11 29 13 10
"Obsl1" 396 506 174 358 141 177
"Inha" 7 16 8 22 12 8
"Stk11ip" 433 690 333 942 332 433
"Slc4a3" 150 212 104 431 173 209
"Gm17751" 0 1 0 0 0 0
